Policy,Date
Election,11/3/20
Alaska_reopen,4/24/20
Georgia_reopen,4/30/20
Colorado_reopen,4/27/20
Tennessee_reopen,4/27/20
Alabama_reopen,4/30/20
Idaho_reopen,4/30/20
Maine_reopen,4/30/20
Texas_reopen,4/30/20
Indiana_reopen,5/4/20
Kansas_reopen,5/4/20
Missouri_reopen,5/4/20
Utah_reopen,5/4/20
West_Virginia_reopen,5/4/20
Arizona_reopen,5/15/20
Nevada_reopen,5/15/20
South_Carolina_reopen,5/15/20
North_Carolina_reopen,5/22/20
Michigan_reopen,6/12/20
Florida_reopen,5/4/20
California_reopen,5/4/20
Oregon_reopen,5/24/20
DC_reopen,5/29/20
New_York_reopen,5/15/20
Stipend_received,5/5/20
BLM_protest_DC,5/30/20
BLM_protest_oregon,6/2/20
Memorialday,5/31/20
Laborday,9/6/20
4thJuly,7/4/20
Halloween,10/31/20